UID,PID,PTM,PEN,DESC,CAT,PEY,ACT
873,527918,CIN,OC-0150,Offensive Holding,2,10,A
874,527965,TB,XX-0000,Defensive Offside,4,5,A
875,527973,TB,JZ-0300,Offensive Holding,2,10,A
876,527982,WAS,JM-6300,Offensive Holding,2,10,A
877,527992,WAS,LP-0200,Offensive Holding,2,10,A
878,527993,TB,MB-0650,Unnecessary Roughness,6,15,A
879,527995,TB,RB-0700,Defensive Pass Interference,5,32,A
880,528005,TB,GM-0500,Defensive Offside,4,0,D
881,528008,TB,GG-0300,Encroachment,4,5,A
882,528030,WAS,CC-1700,False Start,1,5,A
883,528048,WAS,WM-0800,Clipping,7,15,A
884,528052,TB,XX-0000,Offensive Holding,2,7,A
885,528053,TB,EL-0600,False Start,1,3,A
886,528062,TB,XX-0000,Roughing the Passer,6,15,A
887,528063,WAS,PG-0100,Offensive Pass Interference,2,8,A
888,528068,WAS,PG-0100,Unnecessary Roughness,6,15,A
889,528070,TB,LJ-1150,Illegal Block Above the Waist,7,10,A
890,528072,WAS,RK-0500,Neutral Zone,4,5,A
891,528093,TB,XX-0000,False Start,1,5,A
892,528124,WAS,KL-1000,False Start,1,5,A
893,528144,GB,BB-3700,Offensive Holding,2,10,A
894,528152,NO,JE-1000,Offensive Holding,2,10,A
895,528158,NO,JG-2900,Offensive Holding,2,10,A
896,528170,NO,JG-0400,Neutral Zone,4,5,A
897,528185,GB,JS-3500,Illegal Use of Hands,2,6,A
898,528190,NO,PR-0400,Defensive Holding,5,5,A
899,528194,NO,MJ-0600,Face Mask,6,15,A
900,528202,NO,MC-2400,Illegal Formation,3,5,A
901,528207,GB,BR-0100,Defensive Offside,4,5,A
902,528221,GB,JW-6530,Encroachment,4,5,A
903,528231,GB,XX-0000,12 On-field,3,0,D
904,528231,GB,BR-0100,Personal Foul,6,2,A
905,528240,NO,CJ-2400,Illegal Use of Hands,5,5,A
906,528246,NO,MJ-0600,Face Mask,6,2,A
907,528254,GB,TC-2900,Offensive Holding,2,10,A
908,528298,NO,JM-6200,False Start,1,5,A
909,528302,NO,DT-0800,Offensive Holding,2,10,A
910,528303,GB,MD-0060,Encroachment,4,5,A
911,528307,NO,JG-3600,Defensive Pass Interference,5,0,D
912,528325,NYG,WB-0400,Offensive Holding,2,10,A
