PID,FUM,FRCV,FRY,FORC
536275,RB-4900,YB-0100,0,DH-1400
536495,GT-0100,RS-1100,0,XX-0000
536535,RJ-0800,MB-5100,0,BJ-2100
536578,AR-1300,AB-2730,0,AB-2730
536596,BG-0100,BG-0100,0,MB-5100
536792,DR-1450,XX-0000,0,JM-1900
536827,KC-1400,KC-1400,0,XX-0000
536944,RG-1850,RG-1850,0,XX-0000
537000,DA-0850,XX-0000,0,MG-1800
537054,AL-1100,AC-1200,0,DM-3600
537099,MH-1600,MH-1600,0,XX-0000
537170,BQ-0100,TM-3000,0,RM-2000
537223,MC-0700,TK-0200,0,XX-0000
537336,RC-2100,TR-0800,0,XX-0000
537357,AB-2600,MC-1350,0,KC-1700
537454,FJ-0300,SB-1800,0,XX-0000
537519,DB-3800,DB-3800,0,WW-0900
537523,WM-0300,CL-1300,0,AH-3050
537573,RH-2350,XX-0000,0,PR-0400
