TID,GID,TNAME,PTS,1QP,2QP,3QP,4QP,RFD,PFD,IFD,RY,RA,PY,PA,PC,SK,INT,FUM,PU,GPY,PR,PRY,KR,KRY,IR,IRY,PEN,TOP,TD,TDR,TDP,TDT,FGM,FGAT,FGY,RZA,RZC,BRY,BPY,SRP,S1RP,S2RP,S3RP,SPP,S1PP,S2PP,S3PP,LEA,LEY,LTA,LTY,LGA,LGY,MDA,MDY,RGA,RGY,RTA,RTY,REA,REY,R1A,R1Y,R2A,R2Y,R3A,R3Y,QBA,QBY,SLA,SLY,SMA,SMY,SRA,SRY,DLA,DLY,DMA,DMY,DRA,DRY,WR1A,WR1Y,WR3A,WR3Y,TEA,TEY,RBA,RBY,SGA,SGY,P1A,P1Y,P2A,P2Y,P3A,P3Y,SPC,MPC,LPC,Q1RA,Q1RY,Q1PA,Q1PY,LCRA,LCRY,LCPA,LCPY,RZRA,RZRY,RZPA,RZPY,SKY,LBS,DBS,SFPY,DRV,NPY,TB,I20,RTD,LNR,LNP,LBR,LBP,DBR,DBP,NHA,S3A,S3C,L3A,L3C,STF,DP,FSP,OHP,PBEP,DLP,DSP,DMP,PFN
160,3268,TB,38,7,0,14,17,6,11,2,146,23,318,26,15,1,1,1,3,106,3,21,2,36,2,90,33,27,5,1,3,1,1,2,27,5,3,93,202,12,8,2,2,12,6,4,2,3,16,3,43,4,41,10,30,1,12,2,8,0,0,16,79,5,53,2,18,2,10,6,80,6,41,6,28,4,120,3,19,1,36,14,177,3,66,1,0,8,81,23,183,9,156,11,72,7,86,2,4,9,3,12,7,79,0,0,0,0,5,19,5,43,10,1,0,326,12,95,0,1,0,4,0,11.5,5,6.5,7,0,0,0,7,2,2,7,1,2,0,2,0,0,1
161,3269,STL,14,6,0,0,8,7,15,0,162,27,300,39,26,3,0,1,3,135,6,21,2,33,0,0,94,33.5,1,1,0,0,2,5,80,3,1,99,158,16,8,6,2,21,10,8,3,3,33,5,11,2,16,5,9,2,14,5,18,5,57,16,53,9,83,2,22,0,0,11,53,3,25,18,111,4,38,0,0,2,83,16,171,7,30,6,55,9,54,25,120,14,166,15,102,13,27,6,12,8,7,66,11,84,0,0,8,49,3,6,6,-2,15,0,0,177,9,115,1,2,0,7.5,2,9,4,9.5,17,1,4,2,6,2,3,0,1,4,1,2,2,1,1
162,3269,MIA,17,0,10,7,0,2,8,2,20,17,173,29,21,2,0,0,6,323,0,0,2,69,0,0,40,26.5,2,0,2,0,1,1,42,1,1,10,29,6,3,1,2,15,5,7,3,2,4,2,1,0,0,6,10,2,-7,1,0,4,12,9,2,3,4,5,14,4,0,14,70,5,34,9,52,1,29,0,0,0,0,9,42,3,46,8,41,9,56,15,94,10,33,13,91,8,49,5,15,1,2,4,7,28,8,15,2,16,0,0,3,15,12,1,0,281,10,302,0,2,0,4,0,8,3,5,15,0,5,2,6,1,7,0,1,4,0,0,0,1,0
163,3270,DET,26,6,0,0,17,7,15,3,138,28,311,45,22,0,1,0,7,299,4,72,2,26,2,0,132,30.5,2,1,1,0,4,4,144,4,2,43,142,15,9,6,0,18,8,7,3,5,39,3,9,1,9,6,30,1,8,7,29,5,14,17,98,9,41,2,-1,3,7,16,111,3,5,16,40,3,33,1,28,6,94,27,165,0,0,12,119,6,27,45,253,20,198,14,91,11,22,7,5,10,6,45,10,63,9,38,14,78,5,24,6,17,0,0,0,395,14,287,0,1,0,9,0,10.5,7,6.5,14,5,4,2,5,1,5,0,6,2,0,5,2,2,0
164,3270,PHI,23,0,7,6,10,5,15,4,71,29,286,45,28,3,2,1,5,283,3,12,5,122,1,0,60,33.5,2,0,2,0,3,3,107,3,1,33,100,12,5,6,1,21,8,6,7,5,21,2,0,0,0,6,22,0,0,3,7,12,15,13,18,13,31,2,16,8,53,19,105,3,7,11,65,3,17,2,17,5,90,18,194,7,39,10,42,8,26,32,262,21,79,12,71,15,126,9,11,8,5,-5,7,28,4,7,10,58,4,10,8,14,25,0,0,356,14,191,1,0,0,7,1,11.5,5,3.5,16,4,4,3,10,3,11,0,1,1,0,3,6,0,0
165,3271,OAK,20,3,10,0,7,6,15,1,149,32,325,33,23,3,1,2,5,241,2,0,2,25,3,32,110,36.5,2,1,1,0,2,2,74,2,1,77,190,14,8,5,1,18,10,4,4,8,40,2,5,7,8,1,9,6,11,5,56,3,17,16,61,12,51,4,34,0,0,13,106,6,64,9,75,1,0,0,0,4,108,11,104,7,109,9,74,6,66,18,132,17,176,10,95,9,54,4,10,9,10,32,7,66,8,60,16,130,4,9,2,11,28,0,0,318,13,181,3,1,0,12.5,0,7.5,8.5,11,13.5,3,1,0,9,3,6,0,1,8,0,1,1,2,0
166,3271,ATL,23,0,7,6,10,3,11,2,45,15,241,37,24,1,3,0,4,211,0,0,1,29,1,79,25,23.5,2,0,1,1,3,4,116,2,1,15,71,6,3,3,0,21,11,8,2,4,-6,2,0,4,37,1,1,2,9,2,4,0,0,8,19,5,29,2,-3,1,15,9,63,6,25,15,90,2,26,2,0,3,45,16,135,7,37,8,42,6,35,22,155,17,105,14,93,7,43,6,14,4,4,10,6,69,4,25,10,44,3,-2,2,4,8,0,0,369,12,211,0,2,0,4.5,1.5,7.5,7,2,12.5,15,3,0,4,1,5,7,0,2,0,0,1,0,0
167,3272,IND,9,3,3,0,3,0,15,6,42,16,257,44,22,4,2,2,3,131,0,0,4,71,0,0,27,26.5,0,0,0,0,3,3,117,2,0,0,108,5,4,1,0,20,8,9,3,1,1,5,10,0,0,8,27,1,5,0,0,1,-1,10,30,6,12,0,0,0,0,10,50,4,31,19,104,4,0,1,26,3,77,21,155,7,41,10,75,3,17,22,97,20,87,17,88,10,90,1,15,6,5,12,8,47,0,0,0,0,1,1,3,8,23,1.5,0,234,11,111,1,2,0,8.5,0,4.5,2,3,20,0,2,0,6,3,2,0,0,1,1,1,0,0,0
168,3272,NYJ,35,0,21,7,7,14,8,0,253,43,99,19,12,1,0,0,5,260,0,0,2,54,2,13,110,33.5,5,3,2,0,0,0,0,5,5,127,23,26,14,9,3,11,3,4,4,5,27,5,28,0,0,22,121,1,5,8,26,2,25,23,152,16,71,4,9,4,7,8,31,6,42,4,32,1,0,0,0,0,0,5,23,10,52,1,6,2,1,15,50,4,18,7,37,9,44,4,7,1,10,57,4,18,0,0,0,0,12,46,5,20,6,1,0,324,11,240,1,1,0,10.5,0.5,19.5,2,10,6.5,0,3,2,4,2,7,0,1,0,0,0,5,3,0
169,3273,DAL,29,7,3,10,9,12,15,3,227,42,254,36,25,1,1,0,1,32,2,10,1,14,0,0,82,40,3,1,2,0,3,4,119,5,3,85,35,28,15,9,4,20,7,7,6,5,50,6,48,9,47,2,9,10,39,8,32,2,2,26,118,12,91,4,18,0,0,11,91,7,36,13,62,0,0,2,38,3,34,20,126,4,0,9,107,3,28,16,86,10,75,14,107,13,72,7,12,6,9,94,4,47,9,43,17,94,6,16,8,11,7,0,0,304,10,32,0,1,0,12.5,0,20.5,5.5,8,16.5,5,5,5,7,2,3,0,3,3,4,2,2,0,1
170,3273,BAL,31,3,14,7,7,8,10,1,87,21,230,26,17,1,0,0,3,135,0,0,3,159,1,0,76,20,4,2,1,0,1,1,38,4,3,28,114,13,7,3,3,16,8,5,3,1,2,2,7,7,44,1,3,6,18,3,14,1,-1,11,61,6,13,4,13,1,3,2,5,8,113,11,46,3,39,1,0,1,31,10,122,3,15,7,41,6,56,16,148,12,120,9,46,6,64,2,10,5,8,26,8,42,6,23,7,56,4,5,4,26,4,1,0,164,8,125,0,0,1,6.5,0,11,5,1.5,11,25,5,3,3,2,3,0,3,1,1,2,3,0,0
171,3274,BUF,19,9,0,7,0,9,9,1,165,33,141,32,18,2,1,1,8,352,2,10,4,86,2,36,39,31.5,2,2,0,0,1,1,25,3,2,76,23,18,9,7,2,14,6,6,2,0,0,5,20,0,0,21,125,0,0,6,18,1,7,20,79,10,77,3,14,0,0,18,105,2,0,7,32,2,16,1,0,2,0,18,97,0,0,3,4,11,52,28,94,11,62,13,58,10,21,3,12,3,12,56,6,33,10,36,14,55,4,26,0,0,12,2,0,400,14,296,1,2,0,6,0.5,16,5.5,9,11,0,3,2,8,1,6,2,2,0,0,0,1,1,1
172,3274,ARI,16,3,7,3,3,10,9,1,182,30,150,35,16,5,2,0,5,259,3,36,2,49,1,15,67,32.5,1,0,1,0,3,4,159,1,1,130,52,14,8,4,2,13,4,4,5,5,58,10,35,0,0,5,4,0,0,8,62,2,23,21,107,7,49,2,26,5,66,12,32,7,51,12,49,1,0,1,17,2,24,18,111,6,25,7,22,4,15,28,109,9,66,15,17,16,67,3,8,5,6,6,5,8,7,55,15,79,1,5,1,9,23,2,0,354,13,209,2,1,0,8,1,10.5,7,11.5,7,4,4,4,11,1,7,0,1,5,1,0,1,0,0
173,3275,NE,23,7,10,3,3,5,20,1,87,26,388,58,36,1,2,0,3,133,4,68,2,43,0,0,80,34,2,0,2,0,3,3,95,6,1,13,166,14,7,5,2,29,13,10,6,2,1,6,22,2,10,4,9,3,20,7,26,2,-1,15,57,8,21,3,9,0,0,21,109,12,79,14,83,3,101,1,0,5,23,30,223,0,0,10,96,16,76,58,353,21,173,22,131,16,84,9,18,9,3,6,12,133,4,17,10,29,8,21,11,24,7,0,0,393,12,104,0,2,0,9.5,1,9,10.5,7.5,18.5,23,5,3,11,4,6,0,1,0,4,1,3,1,0
174,3275,SEA,24,10,0,0,14,4,11,2,87,24,283,27,16,2,0,2,4,240,2,29,2,40,2,23,35,26,3,0,3,0,1,1,34,3,2,11,222,13,7,4,2,13,9,1,3,1,11,7,23,2,9,2,-9,2,-6,8,37,2,8,11,41,8,32,5,0,3,19,9,45,1,0,7,26,3,0,5,171,2,51,12,128,7,95,3,29,5,41,17,103,12,209,8,11,9,63,2,7,7,7,27,8,131,3,18,4,46,4,12,3,12,10,0,0,293,12,172,0,0,0,8.5,0,11,2,3.5,9,1,3,2,4,1,5,0,2,2,0,0,0,1,0
175,3276,NYG,26,0,10,13,3,8,10,1,151,35,193,28,15,0,0,0,4,199,2,2,2,93,3,42,20,32,2,1,1,0,4,5,118,6,2,104,65,18,10,6,2,13,7,3,3,4,22,4,2,8,49,12,48,3,16,2,7,2,8,18,80,11,56,6,16,0,0,9,35,2,15,11,46,4,58,0,0,2,39,18,102,6,78,2,9,2,4,21,131,10,73,9,46,9,74,2,8,5,2,8,5,17,0,0,0,0,13,20,6,6,0,0,0,484,12,157,1,2,0,8.5,0,14.5,2.5,11,11.5,1,5,2,8,3,12,0,0,1,0,0,0,0,1
176,3276,SF,3,3,0,0,0,4,10,0,80,17,234,37,23,6,3,0,4,199,2,22,6,116,0,0,35,28,0,0,0,0,1,3,42,0,0,38,135,7,3,3,1,20,12,5,3,3,26,2,15,0,0,8,21,1,10,1,0,2,8,8,28,7,37,2,15,4,11,15,73,5,20,12,74,2,36,0,0,3,79,20,138,3,75,9,43,5,26,47,213,17,127,12,103,14,4,3,15,5,9,52,13,68,0,0,0,0,0,0,0,0,48,2,0,246,12,197,0,1,0,4,2,8,5,5,16,5,1,1,6,0,4,0,2,1,2,1,1,0,0
177,3277,MIN,26,9,0,3,14,4,21,2,94,24,327,52,35,4,2,1,2,101,1,-2,3,100,1,0,29,31.5,2,0,2,0,4,4,111,7,2,32,65,10,6,2,2,29,9,13,7,4,16,1,2,2,33,6,18,2,6,4,11,5,8,14,71,7,18,3,5,4,13,15,120,15,57,16,113,1,19,3,43,2,0,24,200,2,13,13,63,13,76,40,202,20,83,21,156,15,88,7,19,9,10,49,11,99,0,0,0,0,4,3,15,48,25,2.5,0,327,11,100,0,2,0,4.5,1,11,8.5,6.5,22.5,7,6,4,6,2,6,0,2,0,0,0,1,1,0
178,3277,WAS,38,0,17,7,14,7,10,3,185,30,178,22,17,1,1,0,3,115,1,1,0,0,2,24,66,28.5,5,3,1,1,1,1,50,3,3,106,30,16,8,3,5,12,5,5,2,6,36,4,17,5,41,3,19,3,10,1,6,8,20,17,65,6,18,7,66,11,104,6,35,10,99,3,18,1,0,2,30,0,0,7,65,7,49,5,52,3,16,33,214,8,64,9,91,6,23,4,7,6,5,7,5,38,2,48,1,-4,6,24,1,6,4,0,0,269,11,117,0,1,0,10,1,8.5,2.5,7.5,12.5,0,4,3,6,2,7,7,1,4,0,0,2,0,0
179,3278,GB,42,14,7,7,14,5,16,4,99,31,328,37,24,2,0,0,5,171,3,23,3,86,3,37,51,28,6,0,6,0,0,0,0,3,3,25,155,12,8,3,1,19,6,9,4,2,-2,4,7,0,0,13,51,6,20,5,20,1,3,18,59,9,29,4,11,0,0,9,47,5,61,12,65,2,0,3,42,6,123,29,256,0,0,7,74,1,8,47,324,12,107,16,111,11,110,3,13,8,6,26,15,123,0,0,0,0,2,0,9,46,10,0,0,421,12,152,0,3,0,11.5,0.5,10.5,0.5,9,17,0,4,3,9,1,9,0,0,2,1,1,1,0,0
