PID,PUNTER,PGRO,PNET,PTB,PR,PRY,PFC
525174,DZ-0100,48,28,Y,XX-0000,0,N
525193,DZ-0100,51,51,N,DJ-0950,0,Y
525211,DZ-0100,50,50,N,DJ-0950,0,Y
525224,DZ-0100,45,41,N,DJ-0950,4,N
525233,CH-2600,33,22,N,PP-0400,11,N
525278,MS-0600,49,37,N,DF-1700,12,N
525283,MB-3000,51,48,N,ER-0500,3,N
525287,MS-0600,64,42,N,DF-1700,22,N
525297,MB-3000,34,34,N,MS-3900,0,Y
525363,MB-3000,33,33,N,MS-3900,0,Y
525384,MS-0600,29,29,N,XX-0000,0,N
525396,MS-0600,64,44,Y,XX-0000,0,N
525400,MB-3000,52,52,N,MS-3900,0,Y
525409,MB-3000,53,45,N,MS-3900,8,N
525416,BC-2000,57,57,N,TH-1900,0,N
525445,BC-2000,40,40,N,XX-0000,0,N
525466,BC-2000,48,35,N,TH-1900,13,N
525484,DJ-2800,49,36,N,JL-1200,13,N
525488,BC-2000,39,35,N,TH-1900,4,N
525508,DJ-2800,46,44,N,JL-1200,2,N
525512,BC-2000,47,47,N,TH-1900,0,Y
525530,BC-2000,52,50,N,TH-1900,2,N
525534,DJ-2800,66,46,Y,XX-0000,0,N
525538,BC-2000,51,51,N,TH-1900,0,Y
525553,BC-2000,47,27,Y,XX-0000,0,N
525569,DJ-2800,55,54,N,JL-1200,1,N
525596,DJ-2800,55,42,N,ED-0200,13,N
525633,SL-0400,60,38,N,AB-3500,22,N
525639,DB-6350,35,35,N,PA-0100,0,Y
525643,SL-0400,54,54,N,XX-0000,0,N
525651,DB-6350,29,29,N,XX-0000,0,N
525655,SL-0400,41,41,N,AB-3500,0,Y
525754,DB-6350,44,39,N,PA-0100,5,N
525769,ZM-0100,56,37,N,JJ-3900,19,N
525773,SK-0600,37,37,N,XX-0000,0,N
525792,SK-0600,52,41,N,JE-0100,11,N
525830,ZM-0100,50,50,N,JJ-3900,0,Y
525890,SK-0600,47,27,Y,XX-0000,0,N
525920,ZM-0100,36,36,N,LW-0700,0,Y
525943,ZM-0100,30,30,N,JJ-3900,0,N
525957,JR-3700,42,42,N,RC-1500,0,Y
525962,TM-0800,43,43,N,XX-0000,0,N
525973,JR-3700,43,43,N,XX-0000,0,N
525985,TM-0800,48,48,N,LW-0500,0,Y
525989,JR-3700,41,39,N,RC-1500,2,N
525993,TM-0800,43,43,N,LW-0500,0,Y
525997,JR-3700,65,59,N,RC-1500,6,N
526003,TM-0800,37,31,N,LW-0500,6,N
526021,TM-0800,55,55,N,XX-0000,0,N
526049,JR-3700,66,62,N,RC-1500,4,N
526066,JR-3700,44,44,N,RC-1500,0,Y
526104,TM-0800,41,42,N,LW-0500,-1,N
526118,RH-2500,33,33,N,XX-0000,0,N
526125,SK-0600,47,27,Y,XX-0000,0,N
526132,RH-2500,44,44,N,JJ-3900,0,Y
526138,SK-0600,54,40,N,JC-5600,14,N
526149,RH-2500,52,52,N,JJ-3900,0,N
526162,RH-2500,49,49,N,JJ-3900,0,Y
526174,RH-2500,32,32,N,XX-0000,0,N
526178,SK-0600,50,50,N,XX-0000,0,N
526199,SK-0600,54,34,Y,XX-0000,0,N
526203,RH-2500,32,32,N,XX-0000,0,N
526267,SK-0600,36,36,N,TB-1060,0,Y
526271,RH-2500,48,48,N,LW-0700,0,Y
526277,SK-0600,55,15,N,TB-1060,40,N
526293,SK-0600,26,26,N,XX-0000,0,N
526312,SP-1620,31,31,N,WW-0200,0,Y
526331,ZM-0100,35,35,N,XX-0000,0,N
526336,SP-1620,54,40,N,WW-0200,14,N
526342,ZM-0100,49,49,N,XX-0000,0,N
526354,SP-1620,42,42,N,WW-0200,0,Y
526392,ZM-0100,35,35,N,LM-1100,0,Y
526414,SP-1620,54,54,N,XX-0000,0,N
526429,SP-1620,28,28,N,XX-0000,0,N
526522,DC-3200,60,60,N,XX-0000,0,N
526530,MS-0600,27,27,N,XX-0000,0,N
526535,DC-3200,49,49,N,ER-0500,0,Y
526559,MS-0600,66,46,Y,XX-0000,0,N
526595,MS-0600,59,44,N,JA-2000,15,N
526599,DC-3200,54,49,N,ER-0500,5,N
526603,MS-0600,56,28,N,JA-2000,28,N
526607,DC-3200,42,42,N,XX-0000,0,N
526611,MS-0600,61,43,N,JA-2000,18,N
526660,MB-3000,45,44,N,CM-3400,1,N
526689,BN-0700,44,44,N,DF-1700,0,Y
526715,MB-3000,56,54,N,CM-3400,2,N
526719,BN-0700,45,27,N,DF-1700,18,N
526745,BN-0700,41,41,N,DF-1700,0,Y
526772,MB-3000,59,39,N,CM-3400,20,N
526777,BN-0700,44,44,N,DF-1700,0,Y
526784,MB-3000,30,30,N,CM-3400,0,Y
526806,BN-0700,48,49,N,DF-1700,-1,N
526810,MB-3000,45,45,N,CM-3400,0,Y
526817,BN-0700,49,49,N,XX-0000,0,N
526831,AL-0500,61,41,Y,XX-0000,0,N
526840,RM-0400,37,37,N,TG-0900,0,Y
526849,AL-0500,42,42,N,XX-0000,0,N
526853,RM-0400,54,45,N,TG-0900,9,N
526880,RM-0400,41,41,N,TG-0900,0,Y
526886,AL-0500,34,34,N,XX-0000,0,N
526913,RM-0400,41,27,N,TG-0900,14,N
526920,AL-0500,47,47,N,XX-0000,0,N
526924,RM-0400,45,44,N,TG-0900,1,N
526945,RM-0400,43,43,N,TG-0900,0,Y
526961,RM-0400,-21,-21,N,XX-0000,0,N
526971,RM-0400,42,22,N,TG-0900,20,N
526995,CK-0900,32,23,N,SL-0900,9,N
527002,NH-0700,42,42,N,MS-1300,0,Y
527019,NH-0700,51,51,N,XX-0000,0,N
527055,CK-0900,52,53,N,SL-0900,-1,N
527062,NH-0700,41,-36,N,MS-1300,77,N
527070,NH-0700,30,30,N,MS-1300,0,Y
527076,CK-0900,51,24,N,SL-0900,27,N
527080,NH-0700,34,34,N,MS-1300,0,Y
527084,CK-0900,37,37,N,SL-0900,0,Y
527116,CK-0900,40,40,N,XX-0000,0,N
527136,CK-0900,47,47,N,XX-0000,0,N
527175,JR-3700,62,42,Y,XX-0000,0,N
527184,JR-3700,62,44,N,DA-0900,18,N
527188,JH-3230,47,50,N,LW-0500,-3,N
527216,JR-3700,31,31,N,XX-0000,0,N
527233,JH-3230,34,34,N,LW-0500,0,Y
527253,JH-3230,48,44,N,LW-0500,4,N
527284,JR-3700,41,41,N,XX-0000,0,N
527288,JH-3230,27,27,N,LW-0500,0,Y
527314,BK-0700,50,41,N,TH-1900,9,N
527318,DJ-2800,61,51,N,DR-1200,10,N
527322,BK-0700,50,43,N,TH-1900,7,N
527339,BK-0700,52,52,N,XX-0000,0,N
527343,DJ-2800,54,52,N,DR-1200,2,N
527361,DJ-2800,33,33,N,DR-1200,0,Y
527365,BK-0700,46,39,N,TH-1900,7,N
527369,DJ-2800,39,39,N,DR-1200,0,Y
527378,BK-0700,33,33,N,XX-0000,0,N
527383,DJ-2800,44,16,N,DR-1200,28,N
527394,BK-0700,60,49,N,TH-1900,11,N
527409,BK-0700,35,35,N,XX-0000,0,N
527421,DJ-2800,28,28,N,XX-0000,0,N
527501,SL-0400,46,47,N,JL-1200,-1,N
527509,SL-0400,54,54,N,JL-1200,0,N
527535,SL-0400,62,50,N,JL-1200,12,N
527550,SL-0400,2,2,N,XX-0000,0,N
