PID,KICKER,KGRO,KNET,KTB,KR,KRY
531453,DC-0500,65,45,N,CG-1060,20
531460,GZ-2000,72,47,N,MT-0550,25
531476,GZ-2000,65,45,Y,XX-0000,0
531513,DC-0500,52,39,N,BM-2400,13
531518,DC-0500,65,45,Y,XX-0000,0
531535,GZ-2000,71,27,N,MT-0550,44
531549,DC-0500,65,45,Y,XX-0000,0
531588,GZ-2000,65,45,Y,XX-0000,0
531610,AH-2600,65,45,Y,XX-0000,0
531624,JH-0900,60,30,N,BB-2530,30
531644,JH-0900,67,36,N,BB-2530,31
531691,AH-2600,65,45,Y,XX-0000,0
531703,JH-0900,65,45,Y,XX-0000,0
531720,AH-2600,55,44,N,SL-0900,11
531737,AH-2600,62,47,N,SL-0900,15
531751,AH-2600,65,45,Y,XX-0000,0
531763,JH-0900,45,25,Y,XX-0000,0
531779,AH-2600,65,45,Y,XX-0000,0
531789,JH-0900,65,53,N,BB-2530,12
531807,JH-0900,56,30,N,BB-2530,26
531808,JH-0900,63,40,N,BB-2530,23
531819,SJ-0300,65,45,Y,XX-0000,0
531851,SJ-0300,65,45,Y,XX-0000,0
531863,MB-3000,65,45,Y,XX-0000,0
531875,SJ-0300,65,45,Y,XX-0000,0
531883,SJ-0300,72,43,N,JR-2800,29
531890,MB-3000,65,45,Y,XX-0000,0
531916,MB-3000,70,45,N,MG-1000,25
531924,MB-3000,65,45,Y,XX-0000,0
531959,MB-3000,65,45,Y,XX-0000,0
531970,SJ-0300,65,45,Y,XX-0000,0
531978,MB-3000,22,22,N,MG-1000,0
531979,NF-0300,65,45,Y,XX-0000,0
532001,PM-0300,65,45,Y,XX-0000,0
532017,NF-0300,72,52,Y,XX-0000,0
532027,NF-0300,67,50,N,CV-0200,17
532041,PM-0300,69,35,N,JM-3600,34
532055,NF-0300,62,43,N,CV-0200,19
532057,PM-0300,65,45,Y,XX-0000,0
532091,NF-0300,61,41,N,LB-0850,20
532101,PM-0300,65,45,N,AC-2400,20
532134,NF-0300,62,47,N,LB-0850,15
532141,DB-0200,74,54,Y,XX-0000,0
532156,JT-3950,74,54,Y,XX-0000,0
532167,DB-0200,73,53,Y,XX-0000,0
532185,DB-0200,74,54,Y,XX-0000,0
532198,JT-3950,73,53,Y,XX-0000,0
532221,JT-3950,49,35,N,LV-0200,14
532223,JT-3950,74,54,Y,XX-0000,0
532232,DB-0200,73,-35,N,JJ-3900,108
532234,JT-3950,74,54,Y,XX-0000,0
532251,DB-0200,74,49,N,JJ-3900,25
532276,DB-0200,64,38,N,JJ-3900,26
532290,JT-3950,74,54,Y,XX-0000,0
532315,DB-0200,11,11,N,XX-0000,0
532320,JF-0900,63,41,N,LM-1100,22
532326,JF-0900,71,40,N,BS-2400,31
532338,DZ-0100,62,29,N,LM-1100,33
532350,RL-0900,65,45,Y,XX-0000,0
532381,JF-0900,38,38,N,XX-0000,0
