PID,FGXP,FKICKER,DIST,GOOD
521400,XP,JT-3950,20,Y
521426,FG,JT-3950,56,Y
521440,XP,AH-2600,20,Y
521456,FG,AH-2600,23,Y
521485,FG,JT-3950,51,Y
521504,FG,JT-3950,48,Y
521516,XP,AH-2600,20,Y
521534,FG,LT-1100,37,Y
521542,FG,CB-0700,45,Y
521556,FG,LT-1100,24,Y
521569,XP,CB-0700,20,Y
521587,XP,CB-0700,20,Y
521599,XP,LT-1100,20,Y
521611,XP,CB-0700,20,Y
521619,FG,CB-0700,52,Y
521648,FG,LT-1100,36,Y
521660,FG,LT-1100,24,Y
521682,XP,LT-1100,20,Y
521689,XP,CB-0700,20,Y
521696,XP,LT-1100,20,Y
521715,FG,SG-1100,31,Y
521742,XP,SG-1100,20,Y
521766,XP,SG-1100,20,Y
521805,XP,JS-1100,20,Y
521825,XP,SG-1100,20,Y
521850,FG,SG-1100,37,Y
521878,XP,GH-0600,20,Y
521889,XP,JM-4000,20,Y
521901,FG,GH-0600,22,Y
521923,FG,GH-0600,53,Y
521933,XP,JM-4000,20,Y
521947,XP,JM-4000,20,Y
521969,XP,JM-4000,20,Y
521996,XP,GH-0600,20,Y
522004,XP,JM-4000,20,Y
522029,XP,GH-0600,20,Y
522051,FG,JF-0900,38,Y
522058,FG,JF-0900,47,Y
522071,FG,SG-0800,46,Y
522094,FG,SG-0800,34,Y
522127,FG,SG-0800,51,Y
522141,XP,JF-0900,20,Y
522166,XP,JF-0900,20,Y
522186,FG,SG-0800,53,Y
522215,FG,SG-0800,42,N
522219,XP,BC-3000,20,Y
522233,FG,GZ-2000,39,Y
522256,XP,BC-3000,20,Y
522273,FG,GZ-2000,33,Y
522279,XP,BC-3000,20,Y
522288,XP,GZ-2000,20,Y
522299,FG,GZ-2000,42,Y
522312,XP,GZ-2000,20,Y
522323,XP,BC-3000,20,Y
522380,FG,BC-3000,62,N
522390,FG,SH-0400,21,Y
522396,XP,SH-0400,20,Y
522427,XP,DB-0200,20,Y
522450,FG,SH-0400,25,Y
522485,XP,SH-0400,20,Y
522510,XP,SH-0400,20,Y
522548,XP,NK-0200,20,Y
522558,XP,NK-0200,20,Y
522573,FG,NK-0200,26,Y
522597,FG,RB-2200,23,Y
522642,XP,NK-0200,20,Y
522647,XP,RB-2200,20,Y
522661,XP,NK-0200,20,Y
522680,XP,NK-0200,20,Y
522699,XP,DC-0500,20,Y
522722,XP,SJ-0300,20,Y
522770,FG,SJ-0300,25,Y
522791,XP,DC-0500,20,Y
522803,XP,DC-0500,20,Y
522819,FG,SJ-0300,27,Y
522830,XP,DC-0500,20,Y
522845,XP,DC-0500,20,Y
522871,FG,SS-3100,45,Y
522883,XP,NF-0300,20,Y
522893,FG,SS-3100,45,Y
522908,FG,NF-0300,38,Y
522929,XP,SS-3100,20,Y
522947,XP,SS-3100,20,Y
522995,XP,SS-3100,20,Y
523021,XP,DA-0300,20,Y
523032,FG,JH-0900,38,Y
523037,FG,JH-0900,41,Y
523054,XP,DA-0300,20,Y
523081,FG,JH-0900,40,N
523103,FG,DA-0300,36,Y
523114,FG,JH-0900,40,Y
523125,FG,DA-0300,48,Y
523136,FG,JH-0900,48,Y
523151,XP,DA-0300,20,Y
523164,XP,JH-0900,20,Y
523176,XP,MB-4600,20,Y
523188,FG,MB-4600,37,Y
523225,FG,MB-4600,42,Y
523239,XP,MB-4600,20,Y
523258,XP,MP-2100,20,Y
523279,XP,MB-4600,20,Y
523310,XP,MP-2100,20,Y
523335,XP,MP-2100,20,Y
523353,XP,LT-1100,20,Y
523371,FG,LT-1100,47,Y
523388,XP,LT-1100,20,Y
523408,FG,LT-1100,49,Y
523427,FG,LT-1100,30,Y
523442,XP,JM-4000,20,Y
523453,FG,LT-1100,36,Y
523469,XP,LT-1100,20,Y
523491,FG,LT-1100,27,Y
523511,FG,RG-1500,54,Y
523565,XP,RG-1500,20,Y
523577,FG,GZ-2000,56,Y
523601,FG,GZ-2000,46,Y
523627,FG,RG-1500,22,Y
523633,XP,RG-1500,20,Y
523651,FG,RG-1500,37,Y
523672,XP,RL-0900,20,Y
523682,XP,RL-0900,20,Y
523724,XP,PD-0200,20,Y
523751,FG,RL-0900,37,Y
523779,XP,PD-0200,20,Y
523801,XP,RL-0900,20,Y
523841,FG,JS-1100,44,Y
523851,XP,AV-0400,20,Y
523900,XP,AV-0400,20,Y
523911,XP,JS-1100,20,Y
523934,FG,JS-1100,47,Y
523955,FG,JS-1100,26,Y
523969,FG,AV-0400,36,N
