PID,BC,DIR,YDS
518911,KW-1200,LT,2
518913,KS-1700,LT,0
518914,JB-2700,MD,1
518918,SJ-0200,MD,-2
518921,KS-1700,MD,2
518924,SJ-0200,MD,9
518925,SJ-0200,LT,3
518927,DR-1450,LE,11
518928,SJ-0200,LT,1
518939,KS-1700,RT,2
518944,SB-1100,NL,-1
518946,SJ-0200,RT,6
518947,SJ-0200,LT,1
518952,KS-1700,LT,1
518963,KS-1700,RT,8
518967,SJ-0200,LT,3
518976,KS-1700,LT,-3
518980,SJ-0200,LT,6
518981,SJ-0200,LE,6
518982,SJ-0200,MD,1
518984,DR-1450,RE,9
518990,DA-0900,LE,2
518991,SJ-0200,MD,5
518993,SJ-0200,LE,1
518999,KS-1700,LT,13
519001,KS-1700,LT,5
519006,SJ-0200,MD,1
519008,SJ-0200,LE,4
519009,SJ-0200,LT,1
519011,SJ-0200,RT,0
519013,SJ-0200,RT,-2
519014,SB-1100,RE,3
519037,RG-1850,RE,12
519041,AM-2850,RT,3
519042,AM-2850,RG,2
519045,AM-2850,RG,2
519049,PT-0400,LT,6
519051,MI-0100,LG,1
519053,MI-0100,LE,1
519067,AM-2850,LG,2
519068,AM-2850,RT,2
519069,RG-1850,RE,5
519070,DY-0200,RG,2
519071,AM-2850,RG,1
519073,RG-1850,RE,7
519074,AM-2850,LG,2
519075,AM-2850,RG,4
519081,MI-0100,LG,5
519082,MI-0100,RG,0
519086,RG-1850,LE,1
519087,AM-2850,LE,3
519090,RG-1850,LE,8
519091,RG-1850,RG,0
519097,MI-0100,LG,6
519101,PT-0400,LG,3
519104,RG-1850,RE,-2
519105,ER-0600,RT,8
519106,ER-0600,LG,2
519111,RG-1850,NL,-1
519115,AM-2850,LE,6
519118,RH-1600,RT,1
519120,AM-2850,LT,1
519129,AM-2850,LE,18
519130,RH-1600,RT,1
519133,AM-2850,RE,3
519134,AM-2850,LG,4
519139,PT-0400,RT,9
519141,MI-0100,RG,2
519146,PT-0400,LT,-1
519156,AM-2850,RE,5
519159,AM-2850,LE,2
519160,AM-2850,RE,11
519162,AM-2850,LG,10
519163,AM-2850,RE,7
519165,AM-2850,RT,1
519166,AM-2850,LE,1
519176,AM-2850,RE,2
519177,AM-2850,LG,-1
519190,AM-2850,LT,3
519192,RG-1850,LE,12
519195,AM-2850,LT,3
519211,AM-2850,LE,-3
519213,AM-2850,RE,0
519214,DY-0200,RG,1
519215,AM-2850,RG,2
519222,RB-4900,RT,1
519224,RB-4900,MD,7
519225,RB-4900,LT,9
519228,DT-0600,MD,0
519233,AF-0900,LE,6
519236,AF-0900,LE,5
519237,BT-0200,RE,6
519242,RB-4900,LG,11
519243,RB-4900,LG,5
519244,RB-4900,LT,8
519246,DT-0600,RT,2
519248,RB-4900,MD,-7
519251,AF-0900,RG,5
519252,AF-0900,RE,4
519253,AF-0900,LT,0
519256,DT-0600,MD,8
519265,AF-0900,LE,7
519266,AF-0900,LT,1
519269,RB-4900,LG,7
519270,RB-4900,LG,2
519273,RB-4900,LE,-2
519280,AF-0900,LE,3
519283,RB-4900,RG,10
519284,RB-4900,LT,2
519293,AF-0900,RG,3
519294,MS-0200,MD,2
519296,AF-0900,RG,14
519301,AF-0900,LT,-1
519302,AF-0900,LT,2
519305,DT-0600,MD,1
519311,RT-0150,NL,-1
519313,AF-0900,RT,4
519314,AF-0900,RG,4
519321,BT-0200,LE,0
519324,BT-0200,RG,2
519327,AF-0900,RG,12
519328,AF-0900,LE,-4
519331,RB-4900,LG,3
519335,AF-0900,LG,0
519337,AF-0900,RE,-2
519340,AF-0900,RT,6
519341,AF-0900,LG,0
519343,AF-0900,LG,2
519344,AF-0900,RG,0
519351,RB-4900,MD,13
519359,BT-0200,LG,2
519360,BT-0200,LT,-4
519361,AF-0900,MD,7
519370,AF-0900,LG,-1
519371,AF-0900,LT,1
519372,AF-0900,LG,1
519378,MS-0200,NL,-1
519379,MS-0200,NL,-1
519380,MS-0200,NL,-1
519382,JL-2300,RE,2
519383,CJ-1700,LG,1
519385,CJ-1700,LG,5
519388,CJ-1700,MD,4
519389,CJ-1700,MD,1
519392,CJ-1700,RT,2
519397,SR-0700,LG,1
519398,SR-0700,LT,17
519400,SR-0700,MD,2
519403,CJ-1700,MD,-3
519404,CJ-1700,LT,2
519407,SR-0700,RT,0
519409,SR-0700,LE,17
519410,SR-0700,LG,-1
519422,SR-0700,RE,-1
519426,CJ-1700,MD,-3
519430,CJ-1700,LT,0
519432,JL-2300,LE,9
519433,DR-1200,LT,0
519437,SR-0700,LE,15
519439,TB-2300,MD,2
519441,DW-4300,RT,6
519442,AH-2800,LT,5
519446,DW-4300,MD,1
519447,SR-0700,LG,8
519457,TB-2300,NL,-1
519460,SR-0700,RE,6
519461,SR-0700,LT,8
519463,SR-0700,RE,-1
519474,SR-0700,LE,4
519476,SR-0700,RE,-4
519490,SR-0700,LT,15
519492,SR-0700,RE,5
519493,SR-0700,RG,14
519494,SR-0700,LT,1
519497,CJ-1700,RT,0
519507,DR-1200,MD,2
519511,CJ-1700,RT,-5
519517,DW-4300,RT,3
519519,DW-4300,RG,2
519521,DW-4300,LE,6
519522,DW-4300,LE,2
519523,SR-0700,LT,16
519524,SR-0700,LE,1
519525,SR-0700,MD,2
519533,BB-2250,MD,9
519534,BB-2250,RT,2
519535,BB-2250,MD,2
519536,BB-2250,LT,0
519537,BB-2250,LE,-2
519540,JH-1400,LG,3
519543,AP-0700,RG,4
519544,PH-0400,LE,4
519545,CP-2000,MD,1
519547,RJ-0800,RT,5
519549,MJ-2500,LG,3
519552,RJ-0800,RE,-4
519556,RJ-0800,RT,3
519557,MT-0900,RE,-1
519562,RJ-0800,LE,10
519564,RJ-0800,RG,4
519565,RJ-0800,MD,0
519568,TG-0600,LT,0
519569,TG-0600,MD,4
519572,MJ-2500,LT,11
519573,MJ-2500,LG,3
519577,AP-0700,MD,9
519578,AP-0700,MD,-2
519579,AP-0700,LE,-1
519585,RJ-0800,RG,4
519586,BG-0100,RE,2
519587,MJ-2500,LE,4
519588,MJ-2500,MD,2
519590,RJ-0800,LT,9
519591,MJ-2500,MD,11
519599,TG-0600,LE,7
519602,MJ-2500,MD,1
519603,MJ-2500,RG,1
519609,AP-0700,RT,8
519611,AP-0700,RT,2
519612,AP-0700,MD,3
519615,BG-0100,NL,-1
519617,MJ-2500,RT,3
519621,MJ-2500,LG,4
519622,MJ-2500,LG,7
519623,BG-0100,MD,0
519624,AP-0700,RE,19
519626,AP-0700,MD,4
519627,AP-0700,MD,2
519630,MJ-2500,LE,0
519632,MJ-2500,LE,10
519634,JP-0800,MD,0
519638,BG-0100,RT,4
519639,MJ-2500,LG,4
519644,TG-0600,LE,6
519645,PH-0400,MD,9
519647,TG-0600,LE,2
519650,PH-0400,MD,-1
519658,MJ-2500,RE,1
519661,MJ-2500,MD,3
519662,MJ-2500,RG,0
519666,AP-0700,MD,5
519669,AP-0700,LG,1
519671,PH-0400,MD,7
519678,MJ-2500,LT,1
519679,BG-0100,MD,1
519684,AP-0700,LG,1
519685,AP-0700,RE,3
519686,TG-0600,LG,-1
519700,AP-0700,RG,10
519702,AP-0700,MD,20
519704,PH-0400,LE,1
519705,AP-0700,LG,-4
519710,MJ-2500,RT,8
519714,DW-3600,RE,-4
519716,DW-3600,LG,-3
519721,DM-0450,RT,4
519722,DM-0450,RT,4
519724,JF-3100,MD,2
519726,DM-0450,LT,1
519728,DM-0450,MD,6
519731,DM-0450,LE,11
519735,MT-1300,RG,2
519740,DM-0450,LE,-1
519741,DM-0450,LG,0
519747,KP-0700,LE,5
519751,CN-0500,LT,-5
519755,LB-0500,MD,4
519757,LB-0500,LG,3
519760,LB-0500,LT,1
519762,JF-3100,LE,12
519763,DM-0450,LT,0
519765,DM-0450,RG,3
519766,DM-0450,LG,0
519774,CN-0500,RE,4
519781,JF-3100,NL,-1
519783,DM-0450,LG,5
519784,JF-3100,LT,7
519785,DM-0450,LT,2
519788,DW-1000,MD,6
519790,DW-3600,MD,0
519797,DM-0450,LT,5
519803,DM-0450,RG,5
519804,DM-0450,LG,7
519805,DM-0450,LG,-2
519806,DM-0450,LT,0
519809,DW-3600,RE,1
519811,DW-3600,MD,7
519812,CN-0500,RE,1
519816,DM-0450,RT,3
519820,DW-3600,LT,-2
519825,DM-0450,RE,12
519827,DW-1000,RE,8
519828,DM-0450,RG,3
519837,DM-0450,LG,4
519845,CN-0500,RT,4
519847,CN-0500,MD,0
519850,DM-0450,LT,4
519851,DM-0450,MD,4
519853,DM-0450,MD,15
519854,JF-3100,NL,-1
519855,JF-3100,NL,-1
519856,JF-3100,NL,-1
519858,ML-2500,LT,2
519860,ML-2500,MD,1
519862,RT-1950,MD,1
519863,ML-2500,RT,4
519866,RW-3400,MD,2
519867,RW-3400,MD,0
519869,RW-3850,RE,4
519870,ML-2500,LT,10
519872,RT-1950,MD,4
519873,RW-3850,LE,4
519877,RW-3400,LT,2
519880,AR-1100,LT,15
519881,RW-3400,LT,4
519884,RW-3400,RT,2
519886,RW-3400,MD,-1
519893,ML-2500,LT,6
519897,RW-3850,RE,1
519899,LW-0500,LT,3
519901,CW-1400,LT,1
519903,CW-1400,RT,2
519906,CW-1400,LT,1
519909,CW-1400,MD,1
519911,LS-1700,MD,1
519914,ML-2500,MD,3
519915,ML-2500,LT,2
519918,ML-2500,LT,8
519919,ML-2500,LT,2
519920,ML-2500,LT,2
519931,LW-0500,MD,2
519937,CW-1400,MD,9
519939,CW-1400,MD,0
519941,ML-2500,MD,8
519942,ML-2500,LT,1
519943,RW-3850,RE,2
519944,RW-3850,MD,-8
519945,RW-3400,MD,-1
519952,ML-2500,RT,7
519959,ML-2500,MD,4
519960,RW-3850,RE,1
519962,RW-3850,MD,5
519965,CW-1400,MD,0
519969,ML-2500,LT,3
519970,ML-2500,MD,4
519973,RW-3400,LT,1
519974,JS-3700,LE,2
519980,ML-2500,LT,0
519990,ML-2500,MD,1
519993,ML-2500,MD,11
520005,LS-1700,MD,3
520012,ML-2500,RT,4
520019,RW-3850,RE,3
520027,ML-2500,MD,2
520031,KK-1200,NL,-1
520033,FG-0200,LG,5
520034,KH-2900,RE,4
520038,CB-1400,RG,1
520040,CB-1400,RG,1
520041,AR-1300,LE,8
520043,CB-1400,RT,4
520050,AS-1600,RT,5
520052,KH-2900,RE,8
520055,KH-2900,LE,4
520059,CB-1400,MD,3
520063,AR-1300,RE,4
520064,CB-1400,RE,2
520068,FG-0200,RG,5
520069,FG-0200,LE,2
520071,FG-0200,RE,3
520073,FG-0200,RE,10
520077,KH-2900,RE,1
520091,CB-1400,RE,1
520100,FG-0200,LT,5
520103,FG-0200,LT,3
520107,FG-0200,RT,0
520115,CK-0100,LT,17
520120,CB-1400,LT,2
520127,FG-0200,RE,21
520128,FG-0200,RT,3
520130,KH-2900,LE,8
520137,CB-1400,RE,1
520139,CB-1400,LG,3
520140,AR-1300,RG,5
520143,FG-0200,LE,7
520144,KH-2900,LT,4
520146,FG-0200,LE,16
520147,KH-2900,RE,5
520158,FG-0200,LT,3
520160,KH-2900,RE,2
520161,FG-0200,MD,6
520165,AS-1600,MD,5
520166,KW-1800,RT,3
520170,FG-0200,RE,23
520182,KH-2900,RG,5
520184,FG-0200,RT,0
520186,AS-1600,RT,5
520189,AR-1300,LG,1
520194,AR-1300,RE,9
520199,AS-1600,NL,-1
520200,AS-1600,NL,-1
520202,WM-0300,LT,5
520204,WM-0300,MD,3
520207,KM-2900,MD,0
520211,IR-0100,MD,3
520213,IR-0100,RT,0
520216,WM-0300,RE,4
520218,WM-0300,RT,-1
520219,IR-0100,RG,3
520220,CR-0250,RE,-2
520222,IR-0100,LE,-6
520223,IR-0100,LG,3
520226,WM-0300,LG,2
520227,WM-0300,RG,2
520230,KM-2900,LT,1
520233,AB-3500,LE,4
520234,JD-3400,LT,11
520237,JD-3400,LG,2
520238,JD-3400,LE,1
520247,WM-0300,LG,3
520251,PM-0200,RE,7
520254,WM-0300,MD,5
520256,WM-0300,MD,4
520257,KM-2900,LG,7
520260,IR-0100,MD,2
520262,IR-0100,LE,6
520264,BB-1300,MD,-1
520267,IR-0100,LE,4
520269,JD-3400,LT,2
520278,PM-0200,NL,-1
520281,JD-3400,RG,3
520284,JD-3400,LT,5
520289,BR-1100,MD,2
520290,BR-1100,MD,2
520292,IR-0100,RG,3
520297,JD-3400,MD,7
520311,JD-3400,LE,3
520314,IR-0100,MD,3
520316,JD-3400,RE,9
520317,IR-0100,LG,-1
520321,WM-0300,MD,9
520322,WM-0300,MD,12
520324,KM-2900,LT,2
520333,CR-0250,LE,7
520337,WM-0300,RE,5
520338,WM-0300,LG,3
520339,KM-2900,RG,3
520340,LB-0100,MD,11
520341,LB-0100,MD,3
520343,WM-0300,LT,0
520344,WM-0300,RE,8
520347,WM-0300,RT,0
520361,PM-0200,NL,-1
520362,PM-0200,NL,-1
520365,RR-0400,LG,6
520371,BG-1800,RT,3
520374,TS-2300,LE,13
520376,AB-2000,MD,-10
520379,AB-2000,LE,3
520380,RR-0400,LG,1
520385,RR-0400,RT,7
520388,BG-1800,MD,2
520392,BG-1800,LT,3
520395,BG-1800,RG,13
520398,AD-0100,MD,5
520399,BG-1800,RT,3
520404,RR-0400,LG,16
520405,RR-0400,LG,1
520407,RR-0400,RG,6
520412,BG-1800,LT,4
520413,BG-1800,LE,12
520415,BG-1800,LG,2
520418,BP-0650,RG,3
520429,BG-1800,RG,7
520432,AD-0100,MD,0
520433,BG-1800,RG,4
520435,BG-1800,RT,3
520438,BG-1800,LG,6
520441,JF-1900,NL,-1
520444,BG-1800,LG,9
520445,BG-1800,LT,2
520447,BG-1800,LT,2
520449,BL-0900,MD,3
520451,BG-1800,LG,1
520453,AD-0100,MD,6
520462,RR-0400,LG,13
520464,BP-0650,LG,2
520476,RR-0400,LG,10
520482,BG-1800,LT,1
520490,RR-0400,LE,7
520492,RR-0400,LG,1
520498,BG-1800,RG,14
520503,BP-0650,RE,3
520508,BL-0900,RG,1
520511,BP-0650,RE,11
520512,AA-0800,MD,6
520513,AA-0800,RG,7
520514,AA-0800,LT,0
520517,AA-0800,RT,0
520518,TT-0500,LE,7
520522,BL-0900,RT,1
520523,CP-0800,MD,8
520524,CP-0800,RG,13
520525,CP-0800,RG,1
520526,BG-1000,MD,-5
520529,DM-1600,MD,3
520531,DM-1600,MD,0
520534,DM-1600,LE,8
520536,MG-1000,RT,2
520539,RB-3900,RE,0
520543,DM-1600,LE,7
520546,DM-1600,RT,0
520551,ER-0500,RE,11
520553,CB-3000,RT,2
520561,DM-1600,RT,4
520562,DM-1600,RG,5
520563,DM-1600,RT,1
520565,TJ-2400,MD,-23
520566,MG-1000,LT,11
520569,CB-3000,RG,2
520574,RB-3900,MD,1
520580,CB-3000,LT,-2
520582,CB-3000,LG,1
520588,DM-1600,RT,7
520604,CB-3000,LG,0
520608,DM-1600,RE,5
520609,DM-1600,RT,3
520613,DM-1600,LT,2
520614,DM-1600,LT,1
520617,SL-0400,MD,-8
520621,CB-3000,LE,6
520630,CB-3000,LT,5
520632,RB-3900,MD,2
520636,DM-1600,LE,-3
520640,CB-3000,LT,3
520655,DM-1600,LE,-11
520657,DA-1900,MD,-7
520658,CB-3000,LT,0
520659,ER-0500,LE,1
520661,CB-3000,LE,-5
520663,RB-3900,MD,4
520664,RB-3900,LT,-2
520683,LM-0700,MD,4
520684,LM-0700,MD,1
520685,PR-0300,NL,-1
520689,CB-1400,RE,2
520690,CB-1400,LG,7
520694,MF-1300,RT,4
520695,MF-1300,MD,8
520698,CB-1400,RE,1
520701,CB-1400,RG,4
520706,MF-1300,RE,6
520710,CB-1400,LT,7
520711,CB-1400,LE,6
520719,MF-1300,LT,7
520721,CB-1400,MD,0
520724,CB-1400,MD,5
520725,CB-1400,LT,7
520733,MB-5200,MD,7
520734,MB-5200,MD,2
520735,MB-5200,RT,3
520736,MB-5200,MD,4
520738,MB-5200,LT,-1
520742,CB-1400,RE,1
520747,AG-1700,MD,2
520748,CB-1400,RG,5
520749,RC-1500,RE,28
520763,JK-2200,MD,1
520769,MF-1300,MD,3
520770,MF-1300,RE,2
520772,MF-1300,RT,1
520776,MB-5200,MD,8
520778,MB-5200,MD,8
520779,MB-5200,LT,-2
520784,CB-1400,LG,4
520785,CB-1400,RT,0
520787,MB-5200,RE,5
520788,MB-5200,MD,4
520789,MB-5200,RG,4
520790,MB-5200,RT,7
520791,AA-0900,RG,-3
520795,CB-1400,MD,11
520796,CB-1400,RG,4
520799,MB-5200,MD,3
520803,CB-1400,MD,6
520807,JK-2200,MD,0
520814,JC-6200,LE,12
520815,MB-5200,LT,2
520829,CB-1400,LE,-1
520832,CB-1400,RG,0
520833,AG-1700,MD,0
520841,CB-1400,LG,6
520842,CB-1400,RE,6
520843,AR-1300,NL,-1
520844,AR-1300,NL,-1
520845,AR-1300,NL,-1
520847,TB-1060,LE,13
520848,TR-0350,MD,2
520854,TR-0350,RE,2
520857,TR-0350,LT,5
520860,TR-0350,LT,1
520861,BW-0850,LE,4
520867,BG-1800,LT,1
520869,BG-1800,LT,5
520872,BG-1800,RT,4
520874,AD-0100,RG,2
520875,BG-1800,LT,1
520879,TR-0350,RG,7
520881,TR-0350,MD,5
520883,TR-0350,LT,4
520887,BG-1800,RE,2
520891,BG-1800,LT,4
520893,BG-1800,LG,19
520902,TR-0350,RG,32
520906,BG-1800,MD,4
520907,BG-1800,LT,1
520911,BG-1800,LG,2
520916,TR-0350,MD,3
520922,AD-0100,RE,3
520924,TR-0350,RT,9
520925,TR-0350,RG,-1
520928,TR-0350,LG,10
520930,TR-0350,RT,4
520932,BG-1800,LT,3
520936,BG-1800,RT,4
520950,TR-0350,RE,3
520951,TR-0350,MD,6
520953,TB-1060,LE,2
520959,BG-1800,RG,1
520962,TR-0350,RG,9
520963,TR-0350,RT,3
520971,BG-1800,RG,3
520973,BG-1800,RG,7
520979,TR-0350,RG,6
520981,BW-0850,MD,2
520984,TR-0350,LT,-1
520989,BG-1800,LG,5
520992,BG-1800,LE,2
520994,BG-1800,LT,2
520995,CP-0800,RT,1
520997,BG-1800,LE,-2
520998,BG-1800,RT,6
520999,BG-1800,RG,1
521012,AD-0100,NL,-1
521016,JC-2300,RG,8
521017,JC-2300,LG,-3
521022,CS-3400,LT,1
521023,CS-3400,MD,8
521026,PH-0500,MD,4
521027,JC-2300,RG,-5
521030,CS-3400,MD,5
521031,CS-3400,RE,7
521032,CS-3400,RG,0
521034,TC-1300,MD,8
521035,TC-1300,RG,2
521039,RF-0500,RT,20
521041,CS-3400,LG,17
521044,PH-0500,MD,0
521048,CS-3400,MD,4
521049,RF-0500,RE,8
521050,BS-2400,RT,5
521051,CS-3400,MD,38
521052,RF-0500,RT,7
521054,CS-3400,LT,5
521057,PH-0500,RT,4
521059,JC-2300,LT,1
521067,PH-0500,RG,6
521071,CS-3400,MD,1
521072,CS-3400,MD,6
521075,DD-1200,LE,-8
521080,PH-0500,MD,8
521086,SD-0800,LG,3
521088,MC-0700,LG,21
521090,PH-0500,MD,0
521091,RF-0500,NL,-1
521097,JC-2300,MD,2
521101,BS-2400,MD,-15
521102,CS-3400,RG,7
521103,CS-3400,MD,6
521109,JC-2300,LT,0
521115,CS-3400,RT,-2
521127,PH-0500,MD,3
521129,PH-0500,RT,18
521131,SD-0800,MD,25
521134,MC-0700,MD,4
521137,TC-1300,LG,1
521138,TC-1300,RT,6
521139,TC-1300,MD,6
521140,TC-1300,MD,9
521141,CS-3400,MD,20
521142,TC-1300,LT,2
521143,TC-1300,MD,3
521146,SD-0800,LG,1
521147,SD-0800,MD,9
521153,JW-2600,RG,4
521154,JW-2600,MD,0
521155,JW-2600,MD,5
521157,PH-0500,RG,17
521158,PH-0500,RG,4
521163,PH-0500,LT,2
521168,TT-0900,NL,-1
521169,JW-2600,LG,2
521170,JW-2600,MD,0
521173,SD-0800,RG,18
521178,AP-0700,RG,5
521181,AP-0700,MD,5
521183,AP-0700,LE,6
