UID,GID,PLAYER,PA,PC,PY,INT,RA,SRA,RY,TRG,REC,RECY,FUML,PENY
221,3210,HN-0500,0,0,0,0,0,0,0,2,1,14,0,0
222,3210,DH-3200,0,0,0,0,0,0,0,1,1,12,0,0
223,3210,WB-0400,0,0,0,0,0,0,0,1,0,0,0,0
224,3210,AB-2600,0,0,0,0,1,0,1,0,0,0,0,0
225,3210,MB-1800,0,0,0,0,0,0,0,4,0,0,0,0
226,3210,DM-0450,0,0,0,0,2,2,13,0,0,0,0,0
227,3210,AB-3400,0,0,0,0,6,3,5,0,0,0,0,0
228,3210,VC-0300,0,0,0,0,0,0,0,1,0,0,0,0
229,3211,BT-0200,0,0,0,0,4,2,12,0,0,0,0,0
230,3211,MS-0200,2,0,0,0,2,0,-2,0,0,0,0,0
231,3211,AF-0900,0,0,0,0,6,4,14,1,0,0,0,0
232,3211,KW-0300,0,0,0,0,0,0,0,1,0,0,0,0
233,3211,BG-0100,1,1,5,0,0,0,0,0,0,0,0,0
234,3211,MJ-2500,0,0,0,0,0,0,0,1,1,5,0,0
235,3211,JF-2800,0,0,0,0,4,2,11,0,0,0,0,0
236,3212,MI-0100,0,0,0,0,4,3,17,0,0,0,0,0
237,3212,DB-3800,7,4,22,0,1,1,1,0,0,0,0,0
238,3212,DS-3300,0,0,0,0,0,0,0,1,1,3,0,0
239,3212,JG-2900,0,0,0,0,0,0,0,2,1,1,0,0
240,3212,LM-1500,0,0,0,0,0,0,0,1,0,0,0,0
241,3212,JS-6700,0,0,0,0,4,3,18,1,1,17,0,0
242,3212,CN-0500,3,3,24,0,4,2,6,0,0,0,1,0
243,3212,BL-0100,0,0,0,0,0,0,0,1,1,1,0,0
244,3212,MT-1300,0,0,0,0,1,1,2,0,0,0,0,0
245,3212,DW-3600,0,0,0,0,4,2,4,0,0,0,0,0
246,3212,PT-0400,0,0,0,0,1,1,11,1,1,8,0,0
247,3212,KP-0700,0,0,0,0,0,0,0,1,1,6,0,0
248,3212,JM-6200,0,0,0,0,0,0,0,1,0,0,0,0
249,3212,MC-2400,0,0,0,0,0,0,0,1,1,10,0,0
250,3213,KK-1200,4,2,9,0,1,1,5,0,0,0,0,0
251,3213,TH-1100,0,0,0,0,0,0,0,1,0,0,0,0
252,3213,SR-0700,0,0,0,0,1,0,3,0,0,0,0,0
253,3213,TB-2300,5,3,23,0,0,0,0,0,0,0,0,0
254,3213,BL-1200,0,0,0,0,0,0,0,1,1,5,0,0
255,3213,DW-4300,0,0,0,0,1,0,0,0,0,0,0,0
256,3213,RW-3400,0,0,0,0,1,0,0,0,0,0,0,0
257,3213,LF-0200,0,0,0,0,0,0,0,1,0,0,0,0
258,3213,AR-1100,0,0,0,0,0,0,0,1,1,2,0,0
259,3213,RH-3000,0,0,0,0,0,0,0,1,1,7,0,0
260,3213,LS-1700,0,0,0,0,1,1,4,0,0,0,0,0
261,3213,RG-2200,0,0,0,0,0,0,0,3,1,5,0,5
262,3213,JE-0100,0,0,0,0,0,0,0,1,1,13,0,0
263,3214,SB-1100,8,5,32,1,0,0,0,0,0,0,0,0
264,3214,BG-0600,0,0,0,0,0,0,0,1,0,0,0,0
265,3214,SJ-0200,0,0,0,0,4,1,4,0,0,0,0,14
266,3214,RG-1850,2,1,8,0,3,3,16,0,0,0,0,0
267,3214,AM-2850,0,0,0,0,4,2,11,0,0,0,0,0
268,3214,LH-0600,0,0,0,0,0,0,0,1,0,0,0,0
269,3214,BQ-1500,0,0,0,0,0,0,0,1,0,0,0,0
270,3214,DR-1450,0,0,0,0,4,4,15,1,1,18,0,0
271,3214,DA-0900,0,0,0,0,0,0,0,2,2,7,0,0
272,3214,SS-2200,0,0,0,0,0,0,0,2,1,6,0,0
273,3214,FD-0200,0,0,0,0,0,0,0,1,1,8,0,0
274,3214,NP-0100,0,0,0,0,0,0,0,0,0,0,0,5
275,3214,MM-5700,0,0,0,0,0,0,0,1,1,1,0,0
276,3215,ML-2500,0,0,0,0,6,2,12,0,0,0,0,0
277,3215,RW-3850,5,4,32,0,0,0,0,0,0,0,0,5
