PID,PTS
530299,3
530326,3
530330,7
530356,7
530373,7
530394,7
530409,7
530426,7
530463,7
530476,7
530493,7
530519,3
530551,7
530557,7
530569,7
530599,7
530638,7
530649,7
530671,3
530679,7
530698,7
530713,7
530745,7
530762,7
530778,3
530803,7
530826,7
530846,7
530879,3
530899,3
530900,7
530910,3
530920,3
530962,3
530970,3
530976,7
530987,3
530994,7
531042,3
531054,3
531078,7
531091,3
531104,7
531120,3
531137,7
531157,7
531186,7
531222,3
531230,3
531245,7
531256,3
531263,7
531266,-7
531274,7
531332,7
531349,3
531376,7
531386,-7
531411,7
531420,3
531430,7
531445,7
531459,3
531475,3
531511,7
531517,3
531547,7
531586,8
531623,3
531643,3
531689,7
531719,3
531736,3
531750,3
531760,7
531777,7
531787,7
531806,3
531818,3
531850,3
531861,7
531874,3
531881,7
531915,3
531923,3
531957,-7
531968,7
531977,3
532000,3
532015,7
532025,7
532040,3
532053,7
532089,7
532100,3
532132,7
532155,3
532165,7
532184,3
532196,7
532219,7
532231,3
532232,7
532249,7
532275,3
532288,7
532313,6
532325,3
532337,-2
532348,7
532379,7
532427,3
532433,7
532472,3
532497,3
532515,3
532522,7
532532,7
532551,7
532571,3
532595,3
532635,3
532641,7
532663,7
532700,3
532716,7
532731,3
532755,7
532765,3
532774,3
532819,3
532839,3
532852,3
532863,3
532877,3
532895,7
532899,7
532921,7
532935,3
532951,-7
532963,8
532978,6
532983,7
533016,7
533046,7
533059,7
533069,7
533080,3
533110,7
533131,7
533136,7
533144,7
533163,7
533200,3
533203,7
533244,-7
533261,7
533273,7
533286,-7
533303,7
533315,7
533337,-7
533370,3
533382,3
533391,3
533443,7
533470,3
533499,7
533515,7
533518,7
533520,7
533536,7
533548,3
533566,3
533577,7
533586,7
533603,7
533638,7
533652,7
533668,7
533679,7
533687,7
533698,7
533711,7
533728,7
533768,7
533797,7
533830,7
533850,6
533867,7
533903,7
533923,3
534005,3
534018,7
534028,7
534040,3
534047,3
534058,3
534095,7
534113,3
534128,7
534132,7
534171,3
534201,7
534222,7
534237,3
534256,7
534279,3
534291,3
534317,3
534324,7
534332,3
534367,3
534388,7
534416,3
534423,7
534435,7
534445,3
534457,7
534473,3
534491,-2
534501,7
534505,-7
534528,7
534542,3
534561,3
534577,7
534592,7
534609,3
534616,7
534650,7
534672,7
534687,7
534712,-7
534781,7
534806,7
534808,7
534821,7
534841,-2
534879,3
534892,3
534910,7
534939,7
534952,3
534957,3
534964,3
534978,3
535008,3
535015,7
535035,7
535051,3
535067,3
535080,3
535091,7
535112,3
535127,3
535144,7
535172,3
535182,3
535198,7
535219,7
535231,3
535244,8
535256,3
535263,3
535285,7
535332,7
535356,3
535416,3
535490,7
535512,3
535527,7
535544,3
535551,7
535567,7
535579,3
535592,7
535606,3
535609,7
535643,6
535693,7
535701,3
535708,7
535732,3
535774,3
535787,3
535808,7
535811,-6
535825,3
535835,3
535858,7
535914,3
535947,3
536011,7
536027,7
536043,7
536049,7
536072,3
536084,3
536098,3
536113,3
536130,7
536169,3
536189,7
536201,7
536225,3
536255,3
536262,7
536310,6
536318,3
536360,3
536370,7
536373,7
536384,7
536392,7
536458,7
536473,7
536491,7
536513,3
536523,7
536548,7
536576,3
536583,6
536631,7
536645,3
536664,3
536677,7
536688,7
536707,7
536726,7
536750,7
536760,7
536775,3
536806,7
536846,7
536857,3
536872,6
536885,7
536899,3
536919,3
536931,7
536952,3
536997,3
537010,3
537049,7
537070,3
537101,3
537117,7
537143,6
537157,3
537180,3
537189,3
537202,3
537213,7
537227,3
537239,3
537246,7
537279,3
537294,7
537311,3
537323,3
537331,7
537346,3
537350,-7
537375,7
537390,3
537410,7
537424,7
537445,3
537460,3
537514,7
537527,7
537548,7
537567,3
537579,7
537604,7
537629,3
537644,7
537678,7
537704,3
537717,7
537741,7
537758,3
