Game,Date,Winning team,Score,Losing team,Venue,City,Attendance,Ref
XLII,3-Feb-08,New York Giants* (4)[note 3],17_14,New England Patriots_ (6),University of Phoenix Stadium,"Glendale, Arizona (2)[note 1]","71,101",[51]
XLIII,1-Feb-09,Pittsburgh Steelers_ (7),27_23,Arizona Cardinals*,Raymond James Stadium (2),"Tampa, Florida (4)","70,774",[52]
XLIV,7-Feb-10,New Orleans Saints*,31_17,Indianapolis Colts_ (4),Sun Life Stadium (5)[note 4],"Miami Gardens, Florida (10)[note 2]","74,059",[57]
XLV,6-Feb-11,Green Bay Packers* (5)[note 3],31_25,Pittsburgh Steelers_ (8),Cowboys Stadium,"Arlington, Texas","103,219",[58]
XLVI,5-Feb-12,New York Giants* (5),21_17,New England Patriots_ (7),Lucas Oil Stadium,"Indianapolis, Indiana","68,658",[59][60]
XLVII,3-Feb-13,Baltimore Ravens_ (2),34_31,San Francisco 49ers*(6),Mercedes-Benz Superdome (7),"New Orleans, Louisiana (10)","71,024",[59][61]
XLVIII,2-Feb-14,Seattle Seahawks* (2),43_8,Denver Broncos_(7),MetLife Stadium,"East Rutherford, New Jersey","82,529",[62]
XLIX,1-Feb-15,2014_15 AFC champion_ at 2014_15 NFC champion*,_,To be determined (TBD),University of Phoenix Stadium (2),"Glendale, Arizona (3)[note 1]",TBD,[63]
50,"February 7, 2016[note 5]",2015_16 NFC champion* at 2015_16 AFC champion_,_,To be determined (TBD),Levi's Stadium,"Santa Clara, California (2)[note 1]",TBD,[63]
LI,"February 5, 2017[note 5]",2016_17 AFC champion_ at 2016_17 NFC champion*,_,To be determined (TBD),NRG Stadium (2),"Houston, Texas (3)",TBD,[63]
LII,"February 4, 2018[note 5]",2017-18 NFC champion* at 2017-18 AFC champion*,_,To be determined (TBD),Vikings Stadium,"Minneapolis, Minnesota (2)",TBD,[64]
